parameter_id,parameter_name,display_name_cn,category,subcategory,value,unit,component_code,component_name,model_level,source_type,source_file,source_location,block_path_or_variable_name,default_value,override_value,final_runtime_value,override_chain,used_in_final_simulation,confidence,physical_meaning,notes
MOT-003,motor_torque_slip_gain,扭矩-滑差增益,Motor,Control,30,N*m/(rad/s),L2_5300,牵引电机,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.torque_slip_gain_Nm_per_radps,targetT=30*(wsync-omega) in L2_5300,30,30,30,Params_v2.json -> L2_5300_behavior.m,YES,medium,Simplified torque-slip characteristic gain,
MOT-004,motor_time_constant_s,电机时间常数,Motor,Dynamics,0.2,s,L2_5300,牵引电机,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.time_constant_s,torque=torque+dt*(target-torque)/0.2,0.2,0.2,0.2,Params_v2.json -> L2_5300_behavior.m(0.2),YES,medium,Averaged energized torque response,
MOT-005,motor_efficiency_motoring,电机电动效率,Motor,Efficiency,0.94,1,L2_5300,牵引电机,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.efficiency_motoring,Pshaft/0.94 in L2_5300_behavior.m,0.94,0.94,0.94,Params_v2.json -> L2_5300_behavior.m -> runner_v2.py(MOTOR_ETA_MOT=0.94),YES,medium,Average PMSM motoring efficiency,
MOT-006,motor_efficiency_generating,电机发电效率,Motor,Efficiency,0.92,1,L2_5300,牵引电机,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.efficiency_generating,Pshaft*0.92 in L2_5300_behavior.m,0.92,0.92,0.92,Params_v2.json -> L2_5300_behavior.m(0.92) -> runner_v2.py(MOTOR_ETA_REG=0.93),YES,medium,Average PMSM generating efficiency,"CONFLICT: behavior.m uses 0.92, runner_v2.py uses 0.93"
MOT-007,motor_deenergized_time_constant_s,电机失电时间常数,Motor,Dynamics,0.05,s,L2_5300,牵引电机,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.deenergized_time_constant_s,P.motor.deenergized_time_constant_s,0.05,0.05,0.05,Params_v2.json,POSSIBLY_USED,medium,Fast torque decay when inverter unavailable,Not visible in v1 behavior.m; added in v2 parameters
MOT-008,motor_minimum_operating_voltage_V,电机最低工作电压,Motor,Protection,250,V,L2_5300,牵引电机,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.motor.minimum_operating_voltage_V,P.motor.minimum_operating_voltage_V,250,250,250,Params_v2.json,POSSIBLY_USED,medium,Prevents torque production without valid inverter voltage,
MOT-009,motor_traction_torque_limit_Nm,牵引扭矩上限,Motor,Control,4500,N*m,L2_8100,列控,L2,HARDCODED,L2_8100_behavior.m,line 71,"Trequest=4500*min(1,max(0,traction_command))",4500,4500,4500,L2_8100_behavior.m hardcoded,YES,medium,Traction torque request limited to 4500 Nm (75% of 6000 Nm),
CNV-001,dc_voltage_nominal_V,DC母线标称电压,Converter,Voltage,1800,V,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.dc_voltage_nominal_V,Udc init=1800 in L2_5100_behavior.m,1800,1800,1800,Params_v2.json -> L2_5100_behavior.m(Udc init=1800) -> targetU fallback 1800/1.2,YES,medium,Nominal traction DC-link voltage,
CNV-002,dc_voltage_min_operating_V,DC母线最低工作电压,Converter,Voltage,1200,V,L2_5100/L2_8100,牵引变流器/列控,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.dc_voltage_min_operating_V,dc_link_voltage>=1200 in L2_8100,1200,1200,1200,Params_v2.json -> L2_8100_behavior.m(in_dc_link_voltage>=1200),YES,medium,Minimum DC voltage for inverter torque production,
CNV-003,dc_voltage_max_V,DC母线最大电压,Converter,Voltage,2100,V,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.dc_voltage_max_V,P.converter.dc_voltage_max_V,2100,2100,2100,"Params_v2.json -> L2_5100_behavior.m(targetU=min(2200,...))",YES,medium,DC-link over-voltage limit,"Note: L2_5100 behavior uses 2200 as saturation, params say 2100"
CNV-004,dc_link_capacitance_F,DC母线电容,Converter,Energy Storage,0.4,F,L2_5100,牵引变流器,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.dc_link_capacitance_F,P.converter.dc_link_capacitance_F,0.4,0.4,0.4,Params_v2.json,POSSIBLY_USED,low,Equivalent system-level DC-link capacitance,Not visible in v1 behavior.m as explicit C; DC dynamics simplified
CNV-005,dc_link_bleed_power_W,DC母线漏电功率,Converter,Loss,5000,W,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.dc_link_bleed_power_W,P.converter.dc_link_bleed_power_W,5000,5000,5000,Params_v2.json,POSSIBLY_USED,low,Equivalent auxiliary/bleed load,
CNV-006,dc_link_voltage_time_constant,DC母线电压时间常数,Converter,Dynamics,0.3,s,L2_5100,牵引变流器,L2,HARDCODED,L2_5100_behavior.m,line 40,Udc=Udc+dt*(targetU-Udc)/0.3,0.3,0.3,0.3,L2_5100_behavior.m hardcoded,YES,medium,DC-link voltage first-order response time constant,"IMPLICIT: not in parameter JSON, only in behavior code"
CNV-007,converter_power_limit_W,变流器功率限制,Converter,Power,1200000,W,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.power_limit_W,pmax=1200000 in L2_5100_behavior.m,1200000,1200000,1200000,Params_v2.json -> L2_5100_behavior.m(pmax=1200000),YES,medium,System-level converter power limit,
CNV-008,grid_regen_acceptance_W,电网回馈功率接受量,Converter,Grid,0,W,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.grid_regen_acceptance_W,out_grid_acceptable=0 in L2_5100,0,0,0,Params_v2.json -> L2_5100_behavior.m(out_grid_acceptable_regenerative_power=0),YES,high,Grid does not accept regenerative power; all regen goes to ESS/resistor,CRITICAL: This means NO grid receptivity in this model
CNV-009,rectifier_voltage_gain,整流器电压增益,Converter,Voltage,1.2,1,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.rectifier_voltage_gain,targetU=1.2*U_sec in L2_5100,1.2,1.2,1.2,"Params_v2.json -> L2_5100_behavior.m(1.2*max(U_sec,1800/1.2))",YES,medium,Rectifier output/input voltage ratio,
CNV-010,front_end_efficiency,前端整流效率,Converter,Efficiency,0.98,1,L2_5100,牵引变流器,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.front_end_efficiency,P.converter.front_end_efficiency,0.98,0.98,0.98,Params_v2.json,POSSIBLY_USED,medium,Average rectifier/front-end efficiency,"Not directly in v1 behavior.m; v1 uses 0.96 motoring, 0.95 generating combined"
CNV-011,inverter_efficiency_motoring,逆变器电动效率,Converter,Efficiency,0.98,1,L2_5100,牵引变流器,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.inverter_efficiency_motoring,P.converter.inverter_efficiency_motoring,0.98,0.98,0.98,Params_v2.json,POSSIBLY_USED,medium,Average inverter motoring efficiency,"v1 behavior.m uses 0.96 combined, v2 params separate to 0.98"
CNV-012,inverter_efficiency_generating,逆变器再生效率,Converter,Efficiency,0.98,1,L2_5100,牵引变流器,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.inverter_efficiency_generating,P.converter.inverter_efficiency_generating,0.98,0.98,0.98,Params_v2.json,POSSIBLY_USED,medium,Average inverter regenerative efficiency,v1 behavior.m uses 0.95 combined
CNV-013,converter_traction_efficiency,变流器牵引效率(v1行为),Converter,Efficiency,0.96,1,L2_5100,牵引变流器,L2,HARDCODED,L2_5100_behavior.m,line 46,"Ptr=min(pmax,max(Pmech/0.96,0))",0.96,0.96,0.96,L2_5100_behavior.m hardcoded,YES,medium,Combined converter traction efficiency in behavior code,
CNV-014,converter_regen_efficiency,变流器再生效率(v1行为),Converter,Efficiency,0.95,1,L2_5100,牵引变流器,L2,HARDCODED,L2_5100_behavior.m,line 47,"Preg=min(pmax,max(-Pmech*0.95,0))",0.95,0.95,0.95,L2_5100_behavior.m hardcoded,YES,medium,Combined converter regen efficiency in behavior code,
CNV-015,motor_voltage_frequency_ratio,电机电压频率比,Converter,V/f,8.0,V/Hz,L2_5100,牵引变流器,L2,HARDCODED,L2_5100_behavior.m,line 44,"U_motor=min(0.9*Udc,max(100,|f_motor_e|*8))",8.0,8.0,8.0,L2_5100_behavior.m hardcoded,YES,medium,V/f ratio for motor voltage command,IMPLICIT: not in parameter JSON
CNV-016,precharge_power_limit_W,预充电功率限制,Converter,Startup,900000,W,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.precharge_power_limit_W,P.converter.precharge_power_limit_W,900000,900000,900000,Params_v2.json,POSSIBLY_USED,medium,Limits DC-link startup energy transfer,
CNV-017,precharge_time_constant_s,预充电时间常数,Converter,Startup,0.6,s,L2_5100,牵引变流器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.converter.precharge_time_constant_s,P.converter.precharge_time_constant_s,0.6,0.6,0.6,Params_v2.json,POSSIBLY_USED,medium,System-level DC-link establishment response,
TRF-001,transformer_ratio,变压器变比,Transformer,Ratio,0.06,1,L2_4500,主变压器,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.transformer.ratio_secondary_to_primary,ratio=0.06 in L2_4500_behavior.m,0.06,0.06,0.06,Params_v2.json -> L2_4500_behavior.m(ratio=0.06),YES,medium,Secondary to primary voltage ratio,
TRF-002,transformer_efficiency,变压器效率,Transformer,Efficiency,0.97,1,L2_4500,主变压器,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.transformer.efficiency,eta=0.97 in L2_4500_behavior.m,0.97,0.97,0.97,Params_v2.json -> L2_4500_behavior.m(eta=0.97),YES,medium,Average traction-transformer efficiency,
TRF-003,transformer_primary_voltage_min_V,变压器一次侧最低电压,Transformer,Protection,15000,V,L2_4500/L2_4200,主变压器/HV,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.transformer.primary_voltage_min_V,P.transformer.primary_voltage_min_V,15000,15000,15000,Params_v2.json,YES,high,Minimum primary voltage for breaker closure,
LINE-001,line_voltage_V,接触网电压,Line,Voltage,25000,V,L2_4100,高压受流,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.line.voltage_V,25000 in L2_4100_behavior.m,25000,25000,25000,Params_v2.json -> L2_4100_behavior.m(25000-0.4*I),YES,medium,25 kV AC railway supply boundary,
LINE-002,line_frequency_Hz,接触网频率,Line,Frequency,50,Hz,L2_4100,高压受流,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.line.frequency_Hz,50 in L2_4100_behavior.m,50,50,50,Params_v2.json -> L2_4100_behavior.m(f_ac=panto*50),YES,medium,AC power supply frequency,
LINE-003,line_voltage_drop_V_per_A,线路压降系数,Line,Impedance,0.4,V/A,L2_4100,高压受流,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.line.voltage_drop_V_per_A,25000-0.4*|I| in L2_4100_behavior.m,0.4,0.4,0.4,Params_v2.json -> L2_4100_behavior.m(0.4),YES,medium,Simplified catenary voltage drop model,
LINE-004,pantograph_raise_delay_s,受电弓升弓延迟,Line,Timing,0.2,s,L2_4100,高压受流,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.line.pantograph_raise_delay_s,P.line.pantograph_raise_delay_s,0.2,0.2,0.2,Params_v2.json,POSSIBLY_USED,medium,Startup sequencing delay,
HV-001,hv_breaker_close_delay_s,高压断路器合闸延迟,HV,Timing,0.3,s,L2_4200,网侧HV,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.hv.breaker_close_delay_s,P.hv.breaker_close_delay_s,0.3,0.3,0.3,Params_v2.json,POSSIBLY_USED,medium,Breaker command-to-state delay,
HV-002,hv_breaker_open_delay_s,高压断路器分闸延迟,HV,Timing,0.05,s,L2_4200,网侧HV,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.hv.breaker_open_delay_s,P.hv.breaker_open_delay_s,0.05,0.05,0.05,Params_v2.json,POSSIBLY_USED,medium,Breaker opening delay,
HV-003,hv_primary_voltage_min_V,HV一次侧最低电压,HV,Protection,15000,V,L2_4200,网侧HV,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.hv.primary_voltage_min_V,P.hv.primary_voltage_min_V,15000,15000,15000,Params_v2.json,YES,high,Breaker may close only with valid pantograph supply,
BRK-001,max_service_deceleration_mps2,最大常用制动减速度,Brake,Deceleration,1.2,m/s^2,L2_7200/L2_8100,制动/列控,L2,LEGACY_CONTRACT,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.max_service_deceleration_mps2,amax=1.2 in L2_7200_behavior.m,1.2,1.2,1.2,Params_v2.json -> L2_7200_behavior.m(amax=1.2) -> L2_8100_behavior.m(brakeReq limit=1.2),YES,medium,Frozen service-brake request as demanded deceleration,
BRK-002,max_dynamic_brake_force_N,最大电制动力,Brake,Force,77000,N,L2_8100,列控,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.max_dynamic_force_N,"min(77000,...) in L2_8100_behavior.m",77000,77000,77000,"Params_v2.json -> L2_8100_behavior.m(Favail=...min(77000,...))",YES,medium,Maximum achievable regenerative braking force,
BRK-003,cylinder_pressure_max_Pa,制动缸最大压力,Brake,Pneumatic,600000,Pa,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.cylinder_pressure_max_Pa,targetP=600000*... in L2_7200,600000,600000,600000,Params_v2.json -> L2_7200_behavior.m(600000),YES,medium,Maximum brake cylinder pressure,
BRK-004,cylinder_time_constant_s,制动缸时间常数,Brake,Dynamics,0.4,s,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.cylinder_time_constant_s,exp(-dt/0.4) in L2_7200,0.4,0.4,0.4,Params_v2.json -> L2_7200_behavior.m(0.4),YES,medium,Brake cylinder pressure first-order time constant,
BRK-005,mechanical_force_build_time_s,机械制动力建立时间,Brake,Dynamics,0.25,s,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.mechanical_force_build_time_s,tauF=0.25 in L2_7200,0.25,0.25,0.25,Params_v2.json -> L2_7200_behavior.m(tauF=0.25 for build),YES,medium,First-order friction-brake buildup time,
BRK-006,mechanical_force_release_time_s,机械制动力释放时间,Brake,Dynamics,0.12,s,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.mechanical_force_release_time_s,tauF=0.12 in L2_7200,0.12,0.12,0.12,Params_v2.json -> L2_7200_behavior.m(tauF=0.12 for release),YES,medium,Coordinated release time constant,
BRK-007,low_speed_takeover_time_s,低速接管时间,Brake,Control,0.015,s,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.low_speed_takeover_time_s,tauF=0.015 in L2_7200,0.015,0.015,0.015,Params_v2.json -> L2_7200_behavior.m(tauF=0.015 for low-speed),YES,medium,Fast friction-brake takeover below cutoff-high,
BRK-008,regen_cutoff_low_mps,再生制动切除低速,Brake,Regen,0.5,m/s,L2_8100,列控,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.regen_cutoff_low_mps,(v-0.5)/(1.5-0.5) in L2_8100,0.5,0.5,0.5,Params_v2.json -> L2_8100_behavior.m,YES,medium,Regenerative capability is zero at and below this speed,
BRK-009,regen_cutoff_high_mps,再生制动切除高速,Brake,Regen,1.5,m/s,L2_8100,列控,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.regen_cutoff_high_mps,(v-0.5)/(1.5-0.5) in L2_8100,1.5,1.5,1.5,Params_v2.json -> L2_8100_behavior.m,YES,medium,Regenerative capability fully available above this speed,
BRK-010,stop_hold_entry_speed_mps,停车保持进入速度,Brake,Hold,0.1,m/s,L2_8100,列控,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.stop_hold_entry_speed_mps,v<=0.1 -> brakeReq=0.3 in L2_8100,0.1,0.1,0.1,Params_v2.json -> L2_8100_behavior.m(v<=0.1),YES,medium,Enter hold mode after train reaches standstill,
BRK-011,hold_deceleration_mps2,保持制动减速度,Brake,Hold,0.3,m/s^2,L2_8100/L2_7200,列控/制动,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.hold_deceleration_mps2,brakeReq=0.3 in L2_8100,0.3,0.3,0.3,Params_v2.json -> L2_8100_behavior.m -> L2_D100_behavior.m(phase4: 0.3),YES,medium,Mechanical hold-brake equivalent request after standstill,
BRK-012,total_force_tolerance,总制动力容差,Brake,V&V,0.05,1,L2_7200,制动控制,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.brake.total_force_tolerance,P.brake.total_force_tolerance,0.05,0.05,0.05,Params_v2.json,YES,high,V&V limit for total-force overshoot,
BRK-013,regen_fade_smoothstep,再生衰减平滑函数,Brake,Regen,smoothstep 3t^2-2t^3,,L2_8100,列控,L2,HARDCODED,L2_8100_behavior.m,line 63,xFade*xFade*(3-2*xFade),smoothstep,smoothstep,smoothstep,L2_8100_behavior.m hardcoded,YES,medium,Hermite smoothstep for regen fade between cutoff_low and cutoff_high,IMPLICIT: functional form not documented in parameter JSON
BRK-014,supercap_soc_max_for_regen,再生储能SOC上限,Brake,Regen,0.98,1,L2_8100,列控,L2,HARDCODED,L2_8100_behavior.m,line 65,in_super_cap_soc<0.98,0.98,0.98,0.98,L2_8100_behavior.m hardcoded,YES,medium,Dynamic brake availability requires SOC < 0.98,IMPLICIT: not in parameter JSON
PNE-001,reservoir_pressure_nominal_Pa,主风缸标称压力,Pneumatic,Pressure,900000,Pa,L2_7100,供风,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.pneumatic.reservoir_pressure_nominal_Pa,900000 in L2_7100_behavior.m,900000,900000,900000,Params_v2.json -> L2_7100_behavior.m(constant 900000),YES,medium,Representative main-reservoir pressure,
PNE-002,brake_availability_pressure_threshold_Pa,制动可用压力阈值,Pneumatic,Protection,600000,Pa,L2_7200,制动控制,L2,HARDCODED,L2_7200_behavior.m,line 53,main_reservoir_pressure>600000,600000,600000,600000,L2_7200_behavior.m hardcoded,YES,medium,Minimum reservoir pressure for brake availability,IMPLICIT: not in parameter JSON
SC-001,supercap_capacitance_F,超级电容等效电容,Energy Storage,Capacitance,120,F,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.capacitance_F,C=120 in L2_X100_behavior.m,120,120,120,Params_v2.json -> L2_X100_behavior.m(120) -> runner(SC_C=120),YES,medium,Equivalent bank capacitance,
SC-002,supercap_esr_Ohm,超级电容ESR,Energy Storage,Resistance,0.04,Ohm,L2_X100,车载再生储能,L2,LITERATURE_TYPICAL,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.esr_Ohm,P.supercap.esr_Ohm,0.04,0.04,0.04,Params_v2.json -> runner_v2.py(SC_ESR=0.04),YES,low,Equivalent bank ESR; requires calibration,Note: ESR used in runner for voltage calc but not in FMU behavior
SC-003,supercap_voltage_min_V,超级电容最低电压,Energy Storage,Voltage,500,V,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.voltage_min_V,Emin=0.5*120*500^2=15MJ in L2_X100,500,500,500,Params_v2.json -> L2_X100_behavior.m(Emin=15000000) -> runner(SC_VMIN=500),YES,medium,Lower capacitor internal-voltage limit,
SC-004,supercap_voltage_max_V,超级电容最高电压,Energy Storage,Voltage,900,V,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.voltage_max_V,Emax=0.5*120*900^2=48.6MJ in L2_X100,900,900,900,Params_v2.json -> L2_X100_behavior.m(Emax=48600000) -> runner(SC_VMAX=900),YES,medium,Upper capacitor internal-voltage limit,
SC-005,supercap_initial_soc,超级电容初始SOC,Energy Storage,Initial,0.35,1,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.initial_soc,E_init=26760000 in L2_X100,0.35,0.35,0.35,Params_v2.json -> L2_X100_behavior.m(E=26760000 => SOC=0.35),YES,medium,Initial state of charge,E_init = Emin + 0.35*(Emax-Emin) = 15000000 + 0.35*33600000 = 26760000 J
SC-006,supercap_charge_power_limit_W,超级电容充电功率限制,Energy Storage,Power,600000,W,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.charge_power_limit_W,PchgLim=600000 in L2_X100,600000,600000,600000,Params_v2.json -> L2_X100_behavior.m(PchgLim=600000),YES,medium,Bidirectional DC/DC charge limit,
SC-007,supercap_discharge_power_limit_W,超级电容放电功率限制,Energy Storage,Power,400000,W,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.discharge_power_limit_W,PdisLim=400000 in L2_X100,400000,400000,400000,Params_v2.json -> L2_X100_behavior.m(PdisLim=400000),YES,medium,Bidirectional DC/DC discharge limit,
SC-008,supercap_current_limit_A,超级电容电流限制,Energy Storage,Current,900,A,L2_X100,车载再生储能,L2,ENGINEERING_ASSUMPTION,Rail_MBSE_Simulation_Parameters_v2.json,parameters.supercap.current_limit_A,P.supercap.current_limit_A,900,900,900,Params_v2.json -> runner_v2.py current bounds check <=909,YES,medium,Bidirectional capacitor current limit,Runner uses 909 as VV bound (900+1%)
