binding_id,ssd_component_id,ssd_component_name,l2_code,l2_name,ssd_connector_name,ssd_connector_id,direction,data_type,unit,quantity,item_type,item_code,item_name,item_name_en,item_unit_or_medium,interface_type,original_sysml_path,original_product_code,original_product_name,original_port_name,original_port_id,source_connection_ids,simulink_model,simulink_port_name,simulink_port_type,future_fmu_file,future_fmu_variable,future_fmu_causality,future_fmu_variability,alias_reason,legacy_match,legacy_conflict_fields,review_flags,binding_status,notes
BIND::L2_3800::p_3811_rp_81d4e1a7092e0653,L2_3800,L2_3800,3800,辅助增粘及轮缘润滑,p_3811_rp_81d4e1a7092e0653,L2_3800.p_3811_rp_81d4e1a7092e0653,input,Real,[-],SandingRequest,Boolean,ITM-CMD-024,撒砂请求,SandingRequest,无,IF_IF_CMD_024,p_N_3000.p_N_3800.p_N_3810.p_N_3811.rp_81d4e1a7092e0653,3811,撒砂控制单元,撒砂请求输入,PORT::3811::撒砂请求输入::ITM-CMD-024::输入,CG_565AF053FC6E3FF333FD7433,L2_3800.slx,p_3811_rp_81d4e1a7092e0653,Inport,L2_3800.fmu,p_3811_rp_81d4e1a7092e0653,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Boolean requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4100::p_4111_rp_ca65ceda639dfc7a,L2_4100,L2_4100,4100,高压受流,p_4111_rp_ca65ceda639dfc7a,L2_4100.p_4111_rp_ca65ceda639dfc7a,output,Real,[-],HighVoltageACElectricalEnergy,PhysicalConnector,ITM-PHY-001,高压交流电能,HighVoltageACElectricalEnergy,高压交流电气,IF_IF_PHY_001,p_N_4000.p_N_4100.p_N_4110.p_N_4111.rp_ca65ceda639dfc7a,4111,碳滑板,导流端高压交流电能端口,PORT::4111::导流端高压交流电能端口::ITM-PHY-001::双向物理,CG_9EB19436ED0A54ECCF52C717,L2_4100.slx,p_4111_rp_ca65ceda639dfc7a,Outport,L2_4100.fmu,p_4111_rp_ca65ceda639dfc7a,output,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 高压交流电气
BIND::L2_4100::p_411C_rp_201c13a158f19a88,L2_4100,L2_4100,4100,高压受流,p_411C_rp_201c13a158f19a88,L2_4100.p_411C_rp_201c13a158f19a88,input,Real,[-],PantographCommand,Enum,ITM-CMD-018,受电弓控制指令,PantographCommand,无,IF_IF_CMD_018,p_N_4000.p_N_4100.p_N_4110.p_N_411C.rp_201c13a158f19a88,411C,受电弓电子控制单元,受电弓控制指令输入,PORT::411C::受电弓控制指令输入::ITM-CMD-018::输入,CG_2EE117B4B0633E38D394B904,L2_4100.slx,p_411C_rp_201c13a158f19a88,Inport,L2_4100.fmu,p_411C_rp_201c13a158f19a88,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4100::p_411C_rp_72d2eed2608e1b56,L2_4100,L2_4100,4100,高压受流,p_411C_rp_72d2eed2608e1b56,L2_4100.p_411C_rp_72d2eed2608e1b56,output,Real,[-],PantographState,Enum,ITM-STA-015,受电弓状态,PantographState,无,IF_IF_STA_015,p_N_4000.p_N_4100.p_N_4110.p_N_411C.rp_72d2eed2608e1b56,411C,受电弓电子控制单元,受电弓状态输出,PORT::411C::受电弓状态输出::ITM-STA-015::输出,CG_8F81398231970DBDB0A7F854,L2_4100.slx,p_411C_rp_72d2eed2608e1b56,Outport,L2_4100.fmu,p_411C_rp_72d2eed2608e1b56,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4211_rp_bba7ece236be8f3c,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4211_rp_bba7ece236be8f3c,L2_4200.p_4211_rp_bba7ece236be8f3c,input,Real,[-],HighVoltageACElectricalEnergy,PhysicalConnector,ITM-PHY-001,高压交流电能,HighVoltageACElectricalEnergy,高压交流电气,IF_IF_PHY_001,p_N_4000.p_N_4200.p_N_4210.p_N_4211.rp_bba7ece236be8f3c,4211,真空断路器,进线侧高压交流电能端口,PORT::4211::进线侧高压交流电能端口::ITM-PHY-001::双向物理,CG_9EB19436ED0A54ECCF52C717,L2_4200.slx,p_4211_rp_bba7ece236be8f3c,Inport,L2_4200.fmu,p_4211_rp_bba7ece236be8f3c,input,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 高压交流电气
BIND::L2_4200::p_4235_rp_6fea4b377f978aac,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4235_rp_6fea4b377f978aac,L2_4200.p_4235_rp_6fea4b377f978aac,output,Real,[-],LineVoltage,Real,ITM-MEA-005,高压线路电压,LineVoltage,V,IF_IF_MEA_005,p_N_4000.p_N_4200.p_N_4230.p_N_4235.rp_6fea4b377f978aac,4235,高压电压互感器,高压线路电压输出,PORT::4235::高压线路电压输出::ITM-MEA-005::输出,CG_002543DBE0F9A7FBC2A3FDD3,L2_4200.slx,p_4235_rp_6fea4b377f978aac,Outport,L2_4200.fmu,p_4235_rp_6fea4b377f978aac,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_4200::p_4236_rp_78e99abb7d77c156,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4236_rp_78e99abb7d77c156,L2_4200.p_4236_rp_78e99abb7d77c156,output,Real,[-],HighVoltageACElectricalEnergy,PhysicalConnector,ITM-PHY-001,高压交流电能,HighVoltageACElectricalEnergy,高压交流电气,IF_IF_PHY_001,p_N_4000.p_N_4200.p_N_4230.p_N_4236.rp_78e99abb7d77c156,4236,高压电流互感器,第二测量端高压交流电能端口,PORT::4236::第二测量端高压交流电能端口::ITM-PHY-001::双向物理,CG_B483D5C4E4EC5F805E3B0F19,L2_4200.slx,p_4236_rp_78e99abb7d77c156,Outport,L2_4200.fmu,p_4236_rp_78e99abb7d77c156,output,continuous,,AMBIGUOUS,,SEMANTIC_REVIEW_REQUIRED,SEMANTIC_REVIEW_REQUIRED,Full SysML item datatype PhysicalConnector requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 高压交流电气
BIND::L2_4200::p_4236_rp_9107465175683792,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4236_rp_9107465175683792,L2_4200.p_4236_rp_9107465175683792,output,Real,[-],LineCurrent,Real,ITM-MEA-006,高压线路电流,LineCurrent,A,IF_IF_MEA_006,p_N_4000.p_N_4200.p_N_4230.p_N_4236.rp_9107465175683792,4236,高压电流互感器,高压线路电流输出,PORT::4236::高压线路电流输出::ITM-MEA-006::输出,CG_20C0A22ECCF07864FDBA3F5A,L2_4200.slx,p_4236_rp_9107465175683792,Outport,L2_4200.fmu,p_4236_rp_9107465175683792,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium A
BIND::L2_4200::p_4238_rp_0674d2b80a6a72da,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_0674d2b80a6a72da,L2_4200.p_4238_rp_0674d2b80a6a72da,output,Real,[-],HVBreakerState,Enum,ITM-STA-013,高压断路器状态,HVBreakerState,无,IF_IF_STA_013,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_0674d2b80a6a72da,4238,高压控制输入输出单元,高压断路器状态输出,PORT::4238::高压断路器状态输出::ITM-STA-013::输出,CG_37792F42F4274C7C51C63270,L2_4200.slx,p_4238_rp_0674d2b80a6a72da,Outport,L2_4200.fmu,p_4238_rp_0674d2b80a6a72da,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4238_rp_11b7e7965ec2e386,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_11b7e7965ec2e386,L2_4200.p_4238_rp_11b7e7965ec2e386,input,Real,[-],HVSystemFault,Enum/Bitset,ITM-STA-016,高压系统故障状态,HVSystemFault,无,IF_IF_STA_016,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_11b7e7965ec2e386,4238,高压控制输入输出单元,高压系统故障状态输入,PORT::4238::高压系统故障状态输入::ITM-STA-016::输入,CG_2274BA128E639FDE4D4F56EC,L2_4200.slx,p_4238_rp_11b7e7965ec2e386,Inport,L2_4200.fmu,p_4238_rp_11b7e7965ec2e386,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum/Bitset requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4238_rp_5576b5e0dbb912ba,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_5576b5e0dbb912ba,L2_4200.p_4238_rp_5576b5e0dbb912ba,output,Real,[-],LineVoltage,Real,ITM-MEA-005,高压线路电压,LineVoltage,V,IF_IF_MEA_005,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_5576b5e0dbb912ba,4238,高压控制输入输出单元,高压线路电压输出,PORT::4238::高压线路电压输出::ITM-MEA-005::输出,CG_1C5FC46A1E7682144A3BDDDF,L2_4200.slx,p_4238_rp_5576b5e0dbb912ba,Outport,L2_4200.fmu,p_4238_rp_5576b5e0dbb912ba,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium V
BIND::L2_4200::p_4238_rp_65aacc4600de3990,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_65aacc4600de3990,L2_4200.p_4238_rp_65aacc4600de3990,output,Real,[-],HVBreakerCommand,Enum,ITM-CMD-016,高压断路器指令,HVBreakerCommand,无,IF_IF_CMD_016,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_65aacc4600de3990,4238,高压控制输入输出单元,高压断路器指令输出,PORT::4238::高压断路器指令输出::ITM-CMD-016::输出,CG_9ACDE46A41EE650430438B91,L2_4200.slx,p_4238_rp_65aacc4600de3990,Outport,L2_4200.fmu,p_4238_rp_65aacc4600de3990,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4238_rp_9458944450b0dd4c,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_9458944450b0dd4c,L2_4200.p_4238_rp_9458944450b0dd4c,output,Real,[-],HVSystemFault,Enum/Bitset,ITM-STA-016,高压系统故障状态,HVSystemFault,无,IF_IF_STA_016,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_9458944450b0dd4c,4238,高压控制输入输出单元,高压系统故障状态输出,PORT::4238::高压系统故障状态输出::ITM-STA-016::输出,CG_CE2820923CC0CB141833E11D,L2_4200.slx,p_4238_rp_9458944450b0dd4c,Outport,L2_4200.fmu,p_4238_rp_9458944450b0dd4c,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum/Bitset requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4238_rp_9744a4b3a255a6e8,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_9744a4b3a255a6e8,L2_4200.p_4238_rp_9744a4b3a255a6e8,output,Real,[-],PantographCommand,Enum,ITM-CMD-018,受电弓控制指令,PantographCommand,无,IF_IF_CMD_018,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_9744a4b3a255a6e8,4238,高压控制输入输出单元,受电弓控制指令输出,PORT::4238::受电弓控制指令输出::ITM-CMD-018::输出,CG_2EE117B4B0633E38D394B904,L2_4200.slx,p_4238_rp_9744a4b3a255a6e8,Outport,L2_4200.fmu,p_4238_rp_9744a4b3a255a6e8,output,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4238_rp_c7dcc306b020116f,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_c7dcc306b020116f,L2_4200.p_4238_rp_c7dcc306b020116f,output,Real,[-],LineCurrent,Real,ITM-MEA-006,高压线路电流,LineCurrent,A,IF_IF_MEA_006,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_c7dcc306b020116f,4238,高压控制输入输出单元,高压线路电流输出,PORT::4238::高压线路电流输出::ITM-MEA-006::输出,CG_FE573ED935CFF37491A053E8,L2_4200.slx,p_4238_rp_c7dcc306b020116f,Outport,L2_4200.fmu,p_4238_rp_c7dcc306b020116f,output,continuous,,CONFLICT,unit,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: unit. SSD values were retained. | SSD unit [-] does not encode Full SysML unit/medium A
BIND::L2_4200::p_4238_rp_d9d25dfbac32d1e3,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4238_rp_d9d25dfbac32d1e3,L2_4200.p_4238_rp_d9d25dfbac32d1e3,input,Real,[-],PantographState,Enum,ITM-STA-015,受电弓状态,PantographState,无,IF_IF_STA_015,p_N_4000.p_N_4200.p_N_4230.p_N_4238.rp_d9d25dfbac32d1e3,4238,高压控制输入输出单元,受电弓状态输入,PORT::4238::受电弓状态输入::ITM-STA-015::输入,CG_8F81398231970DBDB0A7F854,L2_4200.slx,p_4238_rp_d9d25dfbac32d1e3,Inport,L2_4200.fmu,p_4238_rp_d9d25dfbac32d1e3,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
BIND::L2_4200::p_4239_rp_c9c4c887a8c7b2f0,L2_4200,L2_4200,4200,网侧高压分配及控制,p_4239_rp_c9c4c887a8c7b2f0,L2_4200.p_4239_rp_c9c4c887a8c7b2f0,input,Real,[-],HVSafetyLoopState,Boolean/Enum,ITM-STA-024,高压安全回路状态,HVSafetyLoopState,无,IF_IF_STA_024,p_N_4000.p_N_4200.p_N_4230.p_N_4239.rp_c9c4c887a8c7b2f0,4239,高压控制单元,高压安全回路状态输入,PORT::4239::高压安全回路状态输入::ITM-STA-024::输入,CG_F55B5E17D8CBFAC80E0961C2,L2_4200.slx,p_4239_rp_c9c4c887a8c7b2f0,Inport,L2_4200.fmu,p_4239_rp_c9c4c887a8c7b2f0,input,continuous,,CONFLICT,data_type,LEGACY_CONTRACT_CONFLICT | SEMANTIC_REVIEW_REQUIRED,LEGACY_CONTRACT_CONFLICT,Legacy contract conflicts with authoritative SSD fields: data_type. SSD values were retained. | Full SysML item datatype Boolean/Enum requires implementation interpretation against SSD Real | SSD unit [-] does not encode Full SysML unit/medium 无
