executable_variable_id,ssd_component,source_ssd_connectors,variable_name,engineering_meaning,quantity,unit,datatype,fmi_causality,fmi_variability,simulink_port_type,source_of_semantics,source_of_unit,source_of_causality,confidence,assumption,legacy_contract_ids,structural_connection_ids,binding_rule_ids,resolution_status
EV::L2_3600::in_omega_axle,L2_3600,L2_3600.p_3641_rp_4ddc6037e5eea6fc,in_omega_axle,Host mechanical angular speed sampled by sensor leaf 3641.,omega_axle,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0064,CG_FA31DFA220FEF0D6FAC8EB67,BR-PHY-005-TAP,RESOLVED
EV::L2_3600::in_omega_gearbox,L2_3600,L2_3600.p_3643_rp_48ddc723a7d58137,in_omega_gearbox,Host mechanical angular speed sampled by sensor leaf 3643.,omega_gearbox,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0063,CG_4CB0735167799FD438F90DD2,BR-PHY-005-TAP,RESOLVED
EV::L2_3600::in_omega_motor,L2_3600,L2_3600.p_3644_rp_af1c1b2c65382775,in_omega_motor,Host mechanical angular speed sampled by sensor leaf 3644.,omega_motor,rad/s,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0065,CG_07AF42BFA3927EF22F7BDDE7,BR-PHY-005-TAP,RESOLVED
EV::L2_3600::out_motor_speed,L2_3600,L2_3600.p_3644_rp_08c271db56ce8427,out_motor_speed,牵引电机速度传感器或电机控制估算的电机机械角速度。,motor_speed,rad/s,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0001,CG_89DF67BFD358C3EEF4DB05F2,BR-SIG-001,RESOLVED
EV::L2_3800::in_sanding_request,L2_3800,L2_3800.p_3811_rp_81d4e1a7092e0653,in_sanding_request,人工或自动发出的撒砂/增粘请求。,sanding_request,1,Boolean,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0027,CG_565AF053FC6E3FF333FD7433,BR-SIG-001,RESOLVED
EV::L2_4100::in_I_ac_rms,L2_4100,L2_4100.p_4111_rp_ca65ceda639dfc7a,in_I_ac_rms,High-voltage AC current feedback/load flow.,I_ac_rms,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0068,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4100::in_pantograph_command,L2_4100,L2_4100.p_411C_rp_201c13a158f19a88,in_pantograph_command,受电弓升弓/降弓控制请求。,pantograph_command,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0003,CG_2EE117B4B0633E38D394B904,BR-SIG-001,RESOLVED
EV::L2_4100::out_U_ac_rms,L2_4100,L2_4100.p_4111_rp_ca65ceda639dfc7a,out_U_ac_rms,High-voltage AC RMS voltage.,U_ac_rms,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0066,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4100::out_f_ac,L2_4100,L2_4100.p_4111_rp_ca65ceda639dfc7a,out_f_ac,High-voltage AC frequency.,f_ac,Hz,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0067,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4100::out_pantograph_state,L2_4100,L2_4100.p_411C_rp_72d2eed2608e1b56,out_pantograph_state,受电弓升/降/接触异常等状态。,pantograph_state,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0002,CG_8F81398231970DBDB0A7F854,BR-SIG-001,RESOLVED
EV::L2_4200::in_I_ac_rms,L2_4200,L2_4200.p_4236_rp_78e99abb7d77c156,in_I_ac_rms,High-voltage AC current feedback/load flow.,I_ac_rms,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0074,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::in_U_ac_rms,L2_4200,L2_4200.p_4211_rp_bba7ece236be8f3c,in_U_ac_rms,High-voltage AC RMS voltage.,U_ac_rms,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0066,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::in_f_ac,L2_4200,L2_4200.p_4211_rp_bba7ece236be8f3c,in_f_ac,High-voltage AC frequency.,f_ac,Hz,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0067,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::in_hv_safety_loop_state,L2_4200,L2_4200.p_4239_rp_c9c4c887a8c7b2f0,in_hv_safety_loop_state,高压相关安全回路闭合/断开/故障状态。,hv_safety_loop_state,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0028,CG_F55B5E17D8CBFAC80E0961C2,BR-SIG-001,RESOLVED
EV::L2_4200::in_hv_system_fault,L2_4200,L2_4200.p_4238_rp_11b7e7965ec2e386,in_hv_system_fault,高压测量、断路器、绝缘或主变压器等高压系统故障集合。,hv_system_fault,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0011,CG_2274BA128E639FDE4D4F56EC,BR-SIG-001,RESOLVED
EV::L2_4200::in_pantograph_state,L2_4200,L2_4200.p_4238_rp_d9d25dfbac32d1e3,in_pantograph_state,受电弓升/降/接触异常等状态。,pantograph_state,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0002,CG_8F81398231970DBDB0A7F854,BR-SIG-001,RESOLVED
EV::L2_4200::out_I_ac_rms,L2_4200,L2_4200.p_4211_rp_bba7ece236be8f3c,out_I_ac_rms,High-voltage AC current feedback/load flow.,I_ac_rms,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0068,CG_9EB19436ED0A54ECCF52C717,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::out_U_ac_rms,L2_4200,L2_4200.p_4236_rp_78e99abb7d77c156,out_U_ac_rms,High-voltage AC RMS voltage.,U_ac_rms,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0072,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::out_f_ac,L2_4200,L2_4200.p_4236_rp_78e99abb7d77c156,out_f_ac,High-voltage AC frequency.,f_ac,Hz,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0073,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4200::out_hv_breaker_command,L2_4200,L2_4200.p_4238_rp_65aacc4600de3990,out_hv_breaker_command,高压断路器分/合控制请求。,hv_breaker_command,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0008,CG_9ACDE46A41EE650430438B91,BR-SIG-001,RESOLVED
EV::L2_4200::out_hv_breaker_state,L2_4200,L2_4200.p_4238_rp_0674d2b80a6a72da,out_hv_breaker_state,高压断路器分/合/跳闸状态。,hv_breaker_state,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0004,CG_37792F42F4274C7C51C63270,BR-SIG-001,RESOLVED
EV::L2_4200::out_hv_system_fault,L2_4200,L2_4200.p_4238_rp_9458944450b0dd4c,out_hv_system_fault,高压测量、断路器、绝缘或主变压器等高压系统故障集合。,hv_system_fault,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0005,CG_CE2820923CC0CB141833E11D,BR-SIG-001,RESOLVED
EV::L2_4200::out_line_current,L2_4200,L2_4200.p_4236_rp_9107465175683792 | L2_4200.p_4238_rp_c7dcc306b020116f,out_line_current,受流/高压测量通道得到的线路电流;符号用于区分取能与回馈。,line_current,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0007 | SIM-L2-0010,CG_20C0A22ECCF07864FDBA3F5A | CG_FE573ED935CFF37491A053E8,BR-SIG-001,RESOLVED
EV::L2_4200::out_line_voltage,L2_4200,L2_4200.p_4235_rp_6fea4b377f978aac | L2_4200.p_4238_rp_5576b5e0dbb912ba,out_line_voltage,受流/高压测量通道得到的线路电压。,line_voltage,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0006 | SIM-L2-0009,CG_002543DBE0F9A7FBC2A3FDD3 | CG_1C5FC46A1E7682144A3BDDDF,BR-SIG-001,RESOLVED
EV::L2_4200::out_pantograph_command,L2_4200,L2_4200.p_4238_rp_9744a4b3a255a6e8,out_pantograph_command,受电弓升弓/降弓控制请求。,pantograph_command,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0003,CG_2EE117B4B0633E38D394B904,BR-SIG-001,RESOLVED
EV::L2_4500::in_I_sec_rms,L2_4500,L2_4500.p_4513_rp_f597e9dc63931270,in_I_sec_rms,Secondary current/load flow.,I_sec_rms,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0080,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_4500::in_U_ac_rms,L2_4500,L2_4500.p_4511_rp_c782fb362436088e,in_U_ac_rms,High-voltage AC RMS voltage.,U_ac_rms,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0072,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4500::in_f_ac,L2_4500,L2_4500.p_4511_rp_c782fb362436088e,in_f_ac,High-voltage AC frequency.,f_ac,Hz,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0073,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4500::in_hv_breaker_state,L2_4500,L2_4500.p_4518_rp_67eef246e016ac82,in_hv_breaker_state,高压断路器分/合/跳闸状态。,hv_breaker_state,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1.,SIM-L2-0004,CG_37792F42F4274C7C51C63270,BR-SIG-001,RESOLVED
EV::L2_4500::in_hv_system_fault,L2_4500,L2_4500.p_4518_rp_a87c9390595138d6,in_hv_system_fault,高压测量、断路器、绝缘或主变压器等高压系统故障集合。,hv_system_fault,1,Int32,input,discrete,Inport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0005,CG_CE2820923CC0CB141833E11D,BR-SIG-001,RESOLVED
EV::L2_4500::out_I_ac_rms,L2_4500,L2_4500.p_4511_rp_c782fb362436088e,out_I_ac_rms,High-voltage AC current feedback/load flow.,I_ac_rms,A,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0074,CG_B483D5C4E4EC5F805E3B0F19,BR-PHY-001-HVAC,RESOLVED
EV::L2_4500::out_U_sec_rms,L2_4500,L2_4500.p_4513_rp_f597e9dc63931270,out_U_sec_rms,Traction-transformer secondary RMS voltage.,U_sec_rms,V,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0078,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_4500::out_f_sec,L2_4500,L2_4500.p_4513_rp_f597e9dc63931270,out_f_sec,Traction-transformer secondary frequency.,f_sec,Hz,Float64,output,continuous,Outport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0079,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_4500::out_hv_system_fault,L2_4500,L2_4500.p_4517_rp_b93b1716e8b4e844,out_hv_system_fault,高压测量、断路器、绝缘或主变压器等高压系统故障集合。,hv_system_fault,1,Int32,output,discrete,Outport,LEGACY_CONTRACT,ENGINEERING_INFERENCE,LEGACY_CONTRACT,inferred,"Full SysML unit/medium is '无'; encoded as FMI dimensionless unit 1. | Legacy Mapping_Status=REVIEW_REQUIRED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0011,CG_2274BA128E639FDE4D4F56EC,BR-SIG-001,RESOLVED
EV::L2_5100::in_I_motor_rms,L2_5100,L2_5100.p_5132_rp_770f7e1c507cc073,in_I_motor_rms,Motor RMS current feedback/load flow.,I_motor_rms,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0083,CG_3BD24EBE88F37EEFFE563597,BR-PHY-004-3PH,RESOLVED
EV::L2_5100::in_U_sec_rms,L2_5100,L2_5100.p_5121_rp_9dedfe88c8a34261 | L2_5100.p_5122_rp_0b57347688ba1240,in_U_sec_rms,Traction-transformer secondary RMS voltage.,U_sec_rms,V,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0078,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_5100::in_f_sec,L2_5100,L2_5100.p_5121_rp_9dedfe88c8a34261 | L2_5100.p_5122_rp_0b57347688ba1240,in_f_sec,Traction-transformer secondary frequency.,f_sec,Hz,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,medium,"The Full SysML physical item is causalized only in the implementation layer; the SSD structural connector remains unchanged. | Legacy Mapping_Status=PROPOSED; accepted as an executable interface resolution because scalar quantity, datatype and causality are explicit and traceable to the Full SysML item.",SIM-L2-0079,CG_117A3F0E6C8FF8FF0013A46B | CG_118F2C2B84D1D301C7BE63F8,BR-PHY-014-ACSEC,RESOLVED
EV::L2_5100::in_line_current,L2_5100,L2_5100.p_5111_rp_651700e69b7dccba,in_line_current,受流/高压测量通道得到的线路电流;符号用于区分取能与回馈。,line_current,A,Float64,input,continuous,Inport,LEGACY_CONTRACT,LEGACY_CONTRACT,LEGACY_CONTRACT,high,,SIM-L2-0007,CG_20C0A22ECCF07864FDBA3F5A,BR-SIG-001,RESOLVED
